lexemeCurrentNode	lineno	token	valueIfNumber	parentNodeSymbol	isLeafNode(yes/no)	NodeSymbol
-----		8		ID		-----		assignmentStmt_type1		yes		leftHandSide_singleVar
ccSubmission		0		ID		-----		leftHandSide_singleVar		no		-----
=		0		ASSIGNOP		-----		assignmentStmt_type1		no		-----
-----		8		FUNID		-----		assignmentStmt_type1		yes		rightHandSide_type1
-----		8		FUNID		-----		rightHandSide_type1		yes		funCallStmt
_concatenate		0		FUNID		-----		funCallStmt		no		-----
(		0		OP		-----		funCallStmt		no		-----
-----		8		ID		-----		funCallStmt		yes		inputParameterList
-----		8		ID		-----		inputParameterList		yes		var
str1		0		ID		-----		var		no		-----
-----		8		COMMA		-----		var		yes		matrixElement
,		0		COMMA		-----		matrixElement		no		-----
-----		8		COMMA		-----		inputParameterList		yes		listVar
,		0		COMMA		-----		listVar		no		-----
-----		8		ID		-----		listVar		yes		inputParameterList
-----		8		ID		-----		inputParameterList		yes		var
blankSTR		0		ID		-----		var		no		-----
-----		8		CL		-----		var		yes		matrixElement
)		0		CL		-----		matrixElement		no		-----
-----		8		CL		-----		inputParameterList		yes		listVar
)		0		CL		-----		listVar		no		-----
)		0		CL		-----		funCallStmt		no		-----
;		0		SEMICOLON		-----		assignmentStmt_type1		no		-----
-----		9		ID		-----		stmtsAndFunctionDefs		yes		newstatements
-----		9		ID		-----		newstatements		yes		stmtsAndFunctionDefs
-----		9		ID		-----		stmtsAndFunctionDefs		yes		stmtOrFunctionDef
-----		9		ID		-----		stmtOrFunctionDef		yes		stmt
-----		9		ID		-----		stmt		yes		assignmentStmt_type1
-----		9		ID		-----		assignmentStmt_type1		yes		leftHandSide_singleVar
ccSubmission		0		ID		-----		leftHandSide_singleVar		no		-----
=		0		ASSIGNOP		-----		assignmentStmt_type1		no		-----
-----		9		FUNID		-----		assignmentStmt_type1		yes		rightHandSide_type1
-----		9		FUNID		-----		rightHandSide_type1		yes		funCallStmt
_concatenate		0		FUNID		-----		funCallStmt		no		-----
(		0		OP		-----		funCallStmt		no		-----
-----		9		ID		-----		funCallStmt		yes		inputParameterList
-----		9		ID		-----		inputParameterList		yes		var
ccSubmission		0		ID		-----		var		no		-----
-----		9		COMMA		-----		var		yes		matrixElement
,		0		COMMA		-----		matrixElement		no		-----
-----		9		COMMA		-----		inputParameterList		yes		listVar
,		0		COMMA		-----		listVar		no		-----
-----		9		ID		-----		listVar		yes		inputParameterList
-----		9		ID		-----		inputParameterList		yes		var
str2		0		ID		-----		var		no		-----
-----		9		CL		-----		var		yes		matrixElement
)		0		CL		-----		matrixElement		no		-----
-----		9		CL		-----		inputParameterList		yes		listVar
)		0		CL		-----		listVar		no		-----
)		0		CL		-----		funCallStmt		no		-----
;		0		SEMICOLON		-----		assignmentStmt_type1		no		-----
-----		10		END		-----		stmtsAndFunctionDefs		yes		newstatements
end		0		END		-----		newstatements		no		-----
end		0		END		-----		mainFunction		no		-----
